method,case_type,count,processed_ok,accuracy,precision,recall,f1
classic,insult,108,108,0.00000000,0.00000000,0.00000000,0.00000000
classic,threat,91,91,0.09890110,1.00000000,0.09890110,0.18000000
classic,obscene,101,101,0.04950495,1.00000000,0.04950495,0.09433962
classic,identity_attack,104,104,0.03846154,1.00000000,0.03846154,0.07407407
classic,sexual_explicit,112,112,0.01785714,1.00000000,0.01785714,0.03508772
classic,clean,0,0,0.00000000,0.00000000,0.00000000,0.00000000
llm,insult,108,84,0.00000000,0.00000000,0.00000000,0.00000000
llm,threat,91,71,0.00000000,0.00000000,0.00000000,0.00000000
llm,obscene,101,88,0.00000000,0.00000000,0.00000000,0.00000000
llm,identity_attack,104,78,0.00000000,0.00000000,0.00000000,0.00000000
llm,sexual_explicit,112,88,0.00000000,0.00000000,0.00000000,0.00000000
llm,clean,0,0,0.00000000,0.00000000,0.00000000,0.00000000
hybrid,insult,108,108,0.00000000,0.00000000,0.00000000,0.00000000
hybrid,threat,91,91,0.09890110,1.00000000,0.09890110,0.18000000
hybrid,obscene,101,101,0.04950495,1.00000000,0.04950495,0.09433962
hybrid,identity_attack,104,104,0.03846154,1.00000000,0.03846154,0.07407407
hybrid,sexual_explicit,112,111,0.01801802,1.00000000,0.01801802,0.03539823
hybrid,clean,0,0,0.00000000,0.00000000,0.00000000,0.00000000
